CIK/Ticker,Date,Doc URL
1171008,2014-09-02,https://www.sec.gov/Archives/edgar/data/1171008/000119380514001778/e612662_ex2-1.htm
1170103,2007-09-14,https://www.sec.gov/Archives/edgar/data/1170103/000109690607001270/ci8k091407ex2-1.htm
1370030,2011-04-20,https://www.sec.gov/Archives/edgar/data/1370030/000118518511000522/ex2-1.htm
837179,2000-08-15,https://www.sec.gov/Archives/edgar/data/837179/000101968700001178/0001019687-00-001178-0002.txt
1359504,2011-03-17,https://www.sec.gov/Archives/edgar/data/1359504/000114420411015519/v215120_ex2-1.htm
1359504,2010-04-27,https://www.sec.gov/Archives/edgar/data/1359504/000114420410022488/ex2-1.htm
1444377,2010-09-20,https://www.sec.gov/Archives/edgar/data/1444377/000143209310000641/ex2-1.htm
1439264,2011-02-18,https://www.sec.gov/Archives/edgar/data/1439264/000135448811000556/bonz_ex21.htm
1439264,2011-06-21,https://www.sec.gov/Archives/edgar/data/1439264/000139160911000315/ex21.htm
1448597,2011-10-06,https://www.sec.gov/Archives/edgar/data/1448597/000152153611000311/q1100165_ex2-1.htm
1312402,2009-09-04,https://www.sec.gov/Archives/edgar/data/1312402/000106299309003195/exhibit2-1.htm
1083848,2014-03-05,https://www.sec.gov/Archives/edgar/data/1083848/000101968714000724/cancal_8k-ex0201.htm
1427714,2010-05-14,https://www.sec.gov/Archives/edgar/data/1427714/000120445910001137/exhibit2-1.htm
1427714,2008-11-21,https://www.sec.gov/Archives/edgar/data/1427714/000101054908000945/smsaelpaso18kex21112008.htm
790024,2006-07-20,https://www.sec.gov/Archives/edgar/data/790024/000102317506000227/epat8k21.txt
1342916,2009-09-04,https://www.sec.gov/Archives/edgar/data/1342916/000116552709000645/ex2-1.txt
764065,2011-01-18,https://www.sec.gov/Archives/edgar/data/764065/000119312511009201/dex21.htm
1430975,2009-12-29,https://www.sec.gov/Archives/edgar/data/1430975/000121390009003777/f8k122409ex2i_amerenergy.htm
1385329,2013-01-11,https://www.sec.gov/Archives/edgar/data/1385329/000149315213000042/ex2-1.htm
1385329,2008-06-16,https://www.sec.gov/Archives/edgar/data/1385329/000106299308002761/exhibit2-1.htm
1385329,2013-05-21,https://www.sec.gov/Archives/edgar/data/1385329/000149315213001031/ex2-1.htm
943548,2001-11-14,https://www.sec.gov/Archives/edgar/data/943548/000095013401508597/d92364ex2-1.txt
1135202,2010-07-07,https://www.sec.gov/Archives/edgar/data/1135202/000107654210000095/p0705_ex2-1.htm
1135202,2008-02-19,https://www.sec.gov/Archives/edgar/data/1135202/000114420408010362/v104086_ex2-1.htm
1135202,2011-01-26,https://www.sec.gov/Archives/edgar/data/1135202/000107654211000006/p0123_ex2-1.htm
1346022,2007-12-06,https://www.sec.gov/Archives/edgar/data/1346022/000132875907000142/ex2-1goldenaria.htm
1394130,2014-09-09,https://www.sec.gov/Archives/edgar/data/1394130/000147793214004940/sun_ex21.htm
1370816,2011-01-20,https://www.sec.gov/Archives/edgar/data/1370816/000139160911000019/ex2_1assepurchaseagmt.htm
1370816,2011-03-07,https://www.sec.gov/Archives/edgar/data/1370816/000139160911000088/ex2_1assetpurchaseagmt.htm
831259,2006-11-20,https://www.sec.gov/Archives/edgar/data/831259/000095010306002631/dp04044_ex0201.htm
831259,2016-05-09,https://www.sec.gov/Archives/edgar/data/831259/000083125916000069/exhibit21.htm
831259,2016-02-16,https://www.sec.gov/Archives/edgar/data/831259/000083125916000059/exhibit2102152016.htm
831259,2012-12-06,https://www.sec.gov/Archives/edgar/data/831259/000119312512493948/d449588dex21.htm
1102217,2004-04-26,https://www.sec.gov/Archives/edgar/data/1102217/000101968704000893/galaxy_8kex2-1.txt
1545312,2015-04-29,https://www.sec.gov/Archives/edgar/data/1545312/000155724015000281/ex-2_1.htm
869531,2002-07-19,https://www.sec.gov/Archives/edgar/data/869531/000102317502000150/goldenexhibit.txt
814904,2009-08-07,https://www.sec.gov/Archives/edgar/data/814904/000115752309005777/a6024083ex2_1.txt
1168938,2009-10-23,https://www.sec.gov/Archives/edgar/data/1168938/000111776809000319/ex21.htm
1168938,2011-03-02,https://www.sec.gov/Archives/edgar/data/1168938/000111776811000123/exhibiit21.htm
1084899,2011-04-04,https://www.sec.gov/Archives/edgar/data/1084899/000121390011001800/f8k040111ex2i_greenworld.htm
1108943,2003-12-03,https://www.sec.gov/Archives/edgar/data/1108943/000121478203000529/doc2.txt
65224,2005-08-05,https://www.sec.gov/Archives/edgar/data/65224/000105291805000342/planofmerger.htm
1442853,2016-10-19,https://www.sec.gov/Archives/edgar/data/1442853/000159406216000642/ex21.htm
1506814,2014-02-06,https://www.sec.gov/Archives/edgar/data/1506814/000072174814000112/ex2_1assetpurchaseagmt.htm
1506814,2016-10-19,https://www.sec.gov/Archives/edgar/data/1506814/000139160916000593/ex2_1contract.htm
1506814,2013-06-19,https://www.sec.gov/Archives/edgar/data/1506814/000072174813000261/ex2_1jvagmreement.htm
1404593,2009-10-20,https://www.sec.gov/Archives/edgar/data/1404593/000100201409000870/exh21.htm
1425597,2009-09-03,https://www.sec.gov/Archives/edgar/data/1425597/000114420409046959/v159633_ex2-1.htm
66649,2016-05-27,https://www.sec.gov/Archives/edgar/data/66649/000104746916013496/a2228805zex-2_1.htm
66649,2016-08-04,https://www.sec.gov/Archives/edgar/data/66649/000110465916137070/a16-16157_1ex2d1.htm
66649,2016-07-06,https://www.sec.gov/Archives/edgar/data/66649/000110465916131280/a16-14526_1ex2d1.htm
1406588,2012-05-24,https://www.sec.gov/Archives/edgar/data/1406588/000106299312001904/exhibit2-1.htm
913586,1999-09-14,https://www.sec.gov/Archives/edgar/data/913586/000089387799000605/0000893877-99-000605.txt
1489137,2011-04-07,https://www.sec.gov/Archives/edgar/data/1489137/000095012311033739/c15260exv2w1.htm
1489137,2012-03-14,https://www.sec.gov/Archives/edgar/data/1489137/000110465912018266/a12-6342_2ex2d1.htm
1489137,2016-05-12,https://www.sec.gov/Archives/edgar/data/1489137/000110465916120339/a16-11036_1ex2d1.htm
1405260,2008-11-13,https://www.sec.gov/Archives/edgar/data/1405260/000116552708000698/ex2-1.txt
1363573,2007-07-13,https://www.sec.gov/Archives/edgar/data/1363573/000114420407036622/v080668_ex2-1.htm
1371310,2011-01-18,https://www.sec.gov/Archives/edgar/data/1371310/000106299311000195/exhibit2-1.htm
1433818,2011-07-13,https://www.sec.gov/Archives/edgar/data/1433818/000116552711000639/ex2-1.txt
1285236,2015-02-26,https://www.sec.gov/Archives/edgar/data/1285236/000114036115009040/ex2_1.htm
1017483,2001-03-05,https://www.sec.gov/Archives/edgar/data/1017483/000101379901000008/0001013799-01-000008-0002.txt
1425173,2012-10-01,https://www.sec.gov/Archives/edgar/data/1425173/000130368112000127/novz_8k27sep11x21.htm
1425173,2009-07-15,https://www.sec.gov/Archives/edgar/data/1425173/000130368109000050/novz_8k071009ex21.txt
1425173,2012-07-16,https://www.sec.gov/Archives/edgar/data/1425173/000130368112000079/novz_8k25jun12x21.htm
1385508,2017-10-06,https://www.sec.gov/Archives/edgar/data/1385508/000162828017009757/opnt-10032017xex21.htm
1342854,2010-06-25,https://www.sec.gov/Archives/edgar/data/1342854/000135448810002067/pzg_ex21.htm
1342854,2014-12-18,https://www.sec.gov/Archives/edgar/data/1342854/000114036114045780/ex2_1.htm
1342854,2010-06-28,https://www.sec.gov/Archives/edgar/data/1342854/000135448810002091/pzg_ex21.htm
1342854,2009-07-22,https://www.sec.gov/Archives/edgar/data/1342854/000111650209001125/param21.htm
1342854,2015-03-06,https://www.sec.gov/Archives/edgar/data/1342854/000156761915000228/s000774x1_ex2-1.htm
1629210,2016-03-17,https://www.sec.gov/Archives/edgar/data/1629210/000156459016014985/pzg-ex21_15.htm
1470915,2012-12-19,https://www.sec.gov/Archives/edgar/data/1470915/000147793212004915/snpk_ex21.htm
1511325,2014-03-26,https://www.sec.gov/Archives/edgar/data/1511325/000151116414000148/exhibit21.htm
1304741,2016-12-12,https://www.sec.gov/Archives/edgar/data/1304741/000166357716000406/ex2_1.htm
1304741,2015-08-27,https://www.sec.gov/Archives/edgar/data/1304741/000121390015006584/f8k081015ex2i_preciousinv.htm
1304741,2016-04-27,https://www.sec.gov/Archives/edgar/data/1304741/000166357716000123/ex2_1.htm
1395005,2008-02-14,https://www.sec.gov/Archives/edgar/data/1395005/000141540808000085/ex21.htm
1413299,2012-02-14,https://www.sec.gov/Archives/edgar/data/1413299/000114420412008103/v302341_ex2-1.htm
1413299,2011-07-25,https://www.sec.gov/Archives/edgar/data/1413299/000114420411041922/v229666_ex2-1.htm
851726,2014-03-12,https://www.sec.gov/Archives/edgar/data/851726/000106299314001251/exhibit2-1.htm
851726,2014-07-30,https://www.sec.gov/Archives/edgar/data/851726/000106299314004445/exhibit2-1.htm
851726,2014-07-17,https://www.sec.gov/Archives/edgar/data/851726/000106299314004248/exhibit2-1.htm
851726,2014-02-19,https://www.sec.gov/Archives/edgar/data/851726/000106299314000935/exhibit2-1.htm
851726,2013-02-20,https://www.sec.gov/Archives/edgar/data/851726/000106299313000869/exhibit2-1.htm
851726,2014-02-20,https://www.sec.gov/Archives/edgar/data/851726/000106299314000984/exhibit2-1.htm
851726,2014-01-27,https://www.sec.gov/Archives/edgar/data/851726/000106299314000336/exhibit2-1.htm
1330323,2007-02-28,https://www.sec.gov/Archives/edgar/data/1330323/000101376207000322/ex21.htm
1341327,2009-10-19,https://www.sec.gov/Archives/edgar/data/1341327/000106299309003683/exhibit2-1.htm
1351765,2010-09-21,https://www.sec.gov/Archives/edgar/data/1351765/000111776810000302/ex21.htm
1001838,2004-10-22,https://www.sec.gov/Archives/edgar/data/1001838/000110465904031568/a04-11935_2ex2d1.htm
1397832,2010-02-04,https://www.sec.gov/Archives/edgar/data/1397832/000121390010000415/f8k012910ex2i_atlgreen.htm
1477168,2015-10-16,https://www.sec.gov/Archives/edgar/data/1477168/000149315215004852/ex2-1.htm
1477168,2012-11-02,https://www.sec.gov/Archives/edgar/data/1477168/000149315212001498/ex2-1.htm
1415020,2010-08-25,https://www.sec.gov/Archives/edgar/data/1415020/000110465910045785/a10-16383_1ex2d1.htm
1415020,2010-07-21,https://www.sec.gov/Archives/edgar/data/1415020/000110465910038935/a10-14388_1ex2d1.htm
1415020,2016-07-06,https://www.sec.gov/Archives/edgar/data/1415020/000110465916131096/a16-14504_1ex2d1.htm
